text,mood,screen_hours,burnout_risk
failing exams. Need help.,High,11.45206273613389,91
future andhera hai. Koi rasta nahi.,High,11.946702718295686,80
sab kharab ho raha hai. Koi rasta nahi.,High,8.825556540728869,80
mental fatigue and future andhera hai.,High,9.72500658392686,89
exhausted and sab kharab ho raha hai.,High,9.034526445543383,85
too heavy and bardasht nahi ho raha.,High,8.523162056815881,90
mental fatigue. Feeling worthless.,High,9.48418619612714,99
extreme pressure and bohot bhojh hai.,High,8.512982313182944,99
failing exams. Feeling worthless.,High,11.143306007800344,88
burned out. Feeling worthless.,High,9.811267874023521,98
preshani bohot barh gayi. Koi rasta nahi.,High,10.4561983902994,100
failing exams. So tired.,High,10.111951005513516,87
extreme pressure and bohot mayoos hoon.,High,9.879171211896903,91
hopeless. Need help.,High,11.95960082627664,80
extreme pressure and thak gaya hoon.,High,9.557010923935376,84
bohot mayoos hoon. Allah help me.,High,11.697138554538228,97
burned out. So tired.,High,10.428704132647274,83
extreme pressure and preshani bohot barh gayi.,High,10.511643646332308,86
bardasht nahi ho raha. Koi rasta nahi.,High,8.206900010764118,80
crushed and future andhera hai.,High,10.594296433911815,81
bohot bhojh hai. Koi rasta nahi.,High,11.935013038326078,98
bohot mayoos hoon. Bohat mushkil hai.,High,11.290373647364891,81
exhausted. Need help.,High,8.370976443069802,95
too heavy and bohot mayoos hoon.,High,11.13508020808937,95
extreme pressure and bohot bhojh hai.,High,11.151224943428838,96
hopeless. So tired.,High,10.346004472204905,82
burned out and sab kharab ho raha hai.,High,8.758953945782023,88
exhausted. Feeling worthless.,High,9.451525810681726,87
bohot mayoos hoon. Koi rasta nahi.,High,10.520184836623075,80
too heavy. So tired.,High,8.63416234841669,84
too heavy. Feeling worthless.,High,8.659867461833466,84
failing exams. So tired.,High,11.761101173646399,84
crushed and tension bohot hai.,High,10.989899001813505,96
burned out. Need help.,High,10.388741546984798,92
bohot mayoos hoon. Allah help me.,High,9.987190566078622,91
depressed and bohot bhojh hai.,High,11.303528756331698,90
exhausted and sab kharab ho raha hai.,High,8.636635009029007,94
preshani bohot barh gayi. Koi rasta nahi.,High,8.35844309515599,85
too heavy. Feeling worthless.,High,8.883008135114975,84
hopeless and tension bohot hai.,High,8.497469694940802,100
too heavy. So tired.,High,8.949945638529053,80
burned out. Feeling worthless.,High,9.360617776296213,94
